subset,1,,num_trips,avg_duration,hours,minutes,seconds
all,7,75,18,1037.0555555555557,0.0,17.0,17.0
all,7,82,82,491.4268292682927,0.0,8.0,11.0
all,7,83,24,6970.25,1.0,56.0,10.0
all,7,87,25,912.0,0.0,15.0,12.0
all,7,98,21,526.9047619047619,0.0,8.0,46.0
all,7,116,7,885.2857142857143,0.0,14.0,45.0
all,7,117,81,867.9012345679013,0.0,14.0,27.0
all,7,131,39,1013.7692307692307,0.0,16.0,53.0
all,7,132,56,488.60714285714283,0.0,8.0,8.0
all,7,138,4,1138.75,0.0,18.0,58.0
all,7,140,1,314.0,0.0,5.0,14.0
all,7,150,78,562.6538461538462,0.0,9.0,22.0
all,7,151,43,426.4418604651163,0.0,7.0,6.0
all,7,156,10,1118.9,0.0,18.0,38.0
all,7,157,37,758.6216216216217,0.0,12.0,38.0
all,7,212,0,,,,
all,7,214,141,457.39716312056737,0.0,7.0,37.0
all,7,215,12,705.4166666666666,0.0,11.0,45.0
all,7,216,13,391.15384615384613,0.0,6.0,31.0
all,7,217,13,822.8461538461538,0.0,13.0,42.0
all,7,219,14,1188.142857142857,0.0,19.0,48.0
all,7,220,91,752.6263736263736,0.0,12.0,32.0
all,7,221,76,1046.0394736842106,0.0,17.0,26.0
all,7,222,28,590.3571428571429,0.0,9.0,50.0
all,7,223,75,730.1866666666666,0.0,12.0,10.0
all,7,298,210,236.42857142857142,0.0,3.0,56.0
all,7,301,19,597.1578947368421,0.0,9.0,57.0
all,7,367,60,1079.8166666666666,0.0,17.0,59.0
all,7,368,22,873.9545454545455,0.0,14.0,33.0
all,7,638,55,748.2545454545455,0.0,12.0,28.0
all,7,639,89,729.4719101123595,0.0,12.0,9.0
all,7,640,36,411.52777777777777,0.0,6.0,51.0
all,7,641,28,394.2142857142857,0.0,6.0,34.0
all,7,642,21,339.0952380952381,0.0,5.0,39.0
all,7,644,43,1034.5581395348838,0.0,17.0,14.0
all,7,645,102,597.1078431372549,0.0,9.0,57.0
all,7,646,101,693.6831683168317,0.0,11.0,33.0
all,7,647,23,995.0869565217391,0.0,16.0,35.0
all,7,788,51,812.1176470588235,0.0,13.0,32.0
all,7,789,59,529.9491525423729,0.0,8.0,49.0
all,7,790,12,1196.25,0.0,19.0,56.0
all,7,791,75,304.88,0.0,5.0,4.0
all,7,792,144,672.1805555555555,0.0,11.0,12.0
all,7,793,11,1164.090909090909,0.0,19.0,24.0
all,7,794,35,862.2285714285714,0.0,14.0,22.0
all,7,795,27,529.2592592592592,0.0,8.0,49.0
all,7,796,368,516.4891304347826,0.0,8.0,36.0
all,7,797,181,834.6132596685082,0.0,13.0,54.0
all,7,798,93,569.6881720430108,0.0,9.0,29.0
all,7,799,24,696.0833333333334,0.0,11.0,36.0
all,7,800,0,,,,
all,7,801,15,1452.9333333333334,0.0,24.0,12.0
all,7,802,14,335.5,0.0,5.0,35.0
all,7,803,236,551.4364406779661,0.0,9.0,11.0
all,7,804,16,326.8125,0.0,5.0,26.0
all,7,806,175,684.7542857142857,0.0,11.0,24.0
all,7,807,4,784.0,0.0,13.0,4.0
all,7,808,12,819.1666666666666,0.0,13.0,39.0
all,7,809,102,445.05882352941177,0.0,7.0,25.0
all,7,810,7,480.57142857142856,0.0,8.0,0.0
all,7,811,50,492.56,0.0,8.0,12.0
all,7,812,56,697.6071428571429,0.0,11.0,37.0
all,7,814,154,687.538961038961,0.0,11.0,27.0
all,7,815,23,1159.5652173913043,0.0,19.0,19.0
all,7,816,45,397.6222222222222,0.0,6.0,37.0
all,7,817,25,2060.32,0.0,34.0,20.0
all,7,818,10,648.5,0.0,10.0,48.0
all,7,819,33,871.060606060606,0.0,14.0,31.0
all,7,908,11,1129.3636363636363,0.0,18.0,49.0
all,7,1043,273,728.6263736263736,0.0,12.0,8.0
all,7,1044,65,854.3384615384615,0.0,14.0,14.0
all,7,1045,95,545.1684210526316,0.0,9.0,5.0
all,7,1046,58,618.1206896551724,0.0,10.0,18.0
all,7,1047,1,565.0,0.0,9.0,25.0
all,7,1048,138,367.6014492753623,0.0,6.0,7.0
all,7,1049,10,796.2,0.0,13.0,16.0
all,7,1816,89,605.8426966292135,0.0,10.0,5.0
all,7,1887,21,477.85714285714283,0.0,7.0,57.0
all,7,1888,13,712.3846153846154,0.0,11.0,52.0
all,7,1889,47,765.5957446808511,0.0,12.0,45.0
all,7,1890,8,1363.75,0.0,22.0,43.0
all,7,1891,2,195.0,0.0,3.0,15.0
all,7,1892,31,508.64516129032256,0.0,8.0,28.0
all,7,1893,48,529.0625,0.0,8.0,49.0
all,7,1894,11,1004.1818181818181,0.0,16.0,44.0
all,7,1895,27,863.5925925925926,0.0,14.0,23.0
all,7,1896,3,676.0,0.0,11.0,16.0
all,7,1897,50,908.1,0.0,15.0,8.0
all,7,1898,10,813.7,0.0,13.0,33.0
all,7,1899,15,947.8666666666667,0.0,15.0,47.0
all,7,1900,18,640.3333333333334,0.0,10.0,40.0
all,8,2,42,395.76190476190476,0.0,6.0,35.0
all,8,3,70,1319.2142857142858,0.0,21.0,59.0
all,8,5,174,839.5689655172414,0.0,13.0,59.0
all,8,7,219,464.36986301369865,0.0,7.0,44.0
all,8,8,433,626.554272517321,0.0,10.0,26.0
all,8,22,135,495.4888888888889,0.0,8.0,15.0
all,8,24,40,891.425,0.0,14.0,51.0
all,8,33,14,350.64285714285717,0.0,5.0,50.0
all,8,34,79,549.1392405063291,0.0,9.0,9.0
all,8,36,109,355.1284403669725,0.0,5.0,55.0
all,8,49,346,468.97687861271675,0.0,7.0,48.0
all,8,58,33,1113.7575757575758,0.0,18.0,33.0
all,8,69,607,453.4168039538715,0.0,7.0,33.0
all,8,70,66,503.07575757575756,0.0,8.0,23.0
all,8,75,12,1408.5833333333333,0.0,23.0,28.0
all,8,82,358,232.66201117318437,0.0,3.0,52.0
all,8,83,206,501.78155339805824,0.0,8.0,21.0
all,8,87,258,675.4961240310078,0.0,11.0,15.0
all,8,98,178,198.87078651685394,0.0,3.0,18.0
all,8,116,15,1026.0666666666666,0.0,17.0,6.0
all,8,117,23,1145.4782608695652,0.0,19.0,5.0
all,8,131,221,393.4886877828054,0.0,6.0,33.0
all,8,132,390,563.6205128205128,0.0,9.0,23.0
all,8,138,39,561.4871794871794,0.0,9.0,21.0
all,8,140,2,522.0,0.0,8.0,42.0
all,8,150,165,350.95757575757574,0.0,5.0,50.0
