subset,,1,num_trips,avg_duration,hours,minutes,seconds
all,817,116,23,1163.1304347826087,0.0,19.0,23.0
all,817,1044,1256,276.2157643312102,0.0,4.0,36.0
all,817,117,32,1131.71875,0.0,18.0,51.0
all,817,222,59,820.1525423728814,0.0,13.0,40.0
all,817,788,116,830.4913793103449,0.0,13.0,50.0
all,817,806,368,555.179347826087,0.0,9.0,15.0
all,817,24,85,748.9764705882353,0.0,12.0,28.0
all,817,792,391,713.4168797953964,0.0,11.0,53.0
all,817,793,28,1106.392857142857,0.0,18.0,26.0
all,817,812,165,723.6121212121212,0.0,12.0,3.0
all,817,1047,0,,,,
all,817,5,209,592.2057416267943,0.0,9.0,52.0
all,817,157,128,311.8359375,0.0,5.0,11.0
all,817,810,33,413.57575757575756,0.0,6.0,53.0
all,817,34,42,713.6666666666666,0.0,11.0,53.0
all,817,908,63,268.6825396825397,0.0,4.0,28.0
all,817,816,295,232.00338983050847,0.0,3.0,52.0
all,817,69,188,686.7074468085107,0.0,11.0,26.0
all,817,301,73,1380.0684931506848,0.0,23.0,0.0
all,817,642,13,506.0769230769231,0.0,8.0,26.0
all,817,131,61,748.7213114754098,0.0,12.0,28.0
all,817,33,8,346.625,0.0,5.0,46.0
all,817,791,10,496.3,0.0,8.0,16.0
all,817,298,40,469.05,0.0,7.0,49.0
all,817,800,0,,,,
all,817,804,211,300.7914691943128,0.0,5.0,0.0
all,817,818,98,467.234693877551,0.0,7.0,47.0
all,817,1049,132,311.09090909090907,0.0,5.0,11.0
all,817,646,444,571.8873873873874,0.0,9.0,31.0
all,817,639,303,510.48514851485146,0.0,8.0,30.0
all,817,212,2,564.0,0.0,9.0,24.0
all,817,223,310,665.083870967742,0.0,11.0,5.0
all,817,368,62,1069.0645161290322,0.0,17.0,49.0
all,817,807,33,1217.5151515151515,0.0,20.0,17.0
all,817,22,184,797.6847826086956,0.0,13.0,17.0
all,817,1816,540,528.1333333333333,0.0,8.0,48.0
all,817,82,552,457.9528985507246,0.0,7.0,37.0
all,817,811,384,487.7395833333333,0.0,8.0,7.0
all,817,798,576,422.75347222222223,0.0,7.0,2.0
all,817,2,207,418.60869565217394,0.0,6.0,58.0
all,817,645,151,611.1324503311258,0.0,10.0,11.0
all,817,802,32,262.8125,0.0,4.0,22.0
all,817,647,203,547.0886699507389,0.0,9.0,7.0
all,817,216,30,327.46666666666664,0.0,5.0,27.0
all,817,796,385,643.2415584415585,0.0,10.0,43.0
all,817,801,16,1113.875,0.0,18.0,33.0
all,817,1892,56,585.8571428571429,0.0,9.0,45.0
all,817,36,481,389.1704781704782,0.0,6.0,29.0
all,817,1889,91,771.3406593406594,0.0,12.0,51.0
all,817,1888,77,823.038961038961,0.0,13.0,43.0
all,817,1891,6,878.6666666666666,0.0,14.0,38.0
all,817,70,65,419.7230769230769,0.0,6.0,59.0
all,817,1890,41,1278.780487804878,0.0,21.0,18.0
all,817,138,21,644.2380952380952,0.0,10.0,44.0
all,817,1887,32,304.25,0.0,5.0,4.0
all,817,1893,229,338.9170305676856,0.0,5.0,38.0
all,817,1894,39,1131.871794871795,0.0,18.0,51.0
all,817,1895,160,381.61875,0.0,6.0,21.0
all,817,1899,35,1026.6,0.0,17.0,6.0
all,817,1896,16,1510.5625,0.0,25.0,10.0
all,817,808,16,588.3125,0.0,9.0,48.0
all,817,1898,18,865.3888888888889,0.0,14.0,25.0
all,817,1897,165,869.9575757575758,0.0,14.0,29.0
all,817,1900,113,607.0530973451328,0.0,10.0,7.0
all,814,215,18,863.2777777777778,0.0,14.0,23.0
all,814,817,586,496.70989761092153,0.0,8.0,16.0
all,814,814,432,523.6597222222222,0.0,8.0,43.0
all,814,1048,177,856.0395480225989,0.0,14.0,16.0
all,814,58,33,870.9090909090909,0.0,14.0,30.0
all,814,638,91,932.4175824175824,0.0,15.0,32.0
all,814,1043,694,411.29250720461096,0.0,6.0,51.0
all,814,819,41,789.8536585365854,0.0,13.0,9.0
all,814,1045,337,509.3442136498516,0.0,8.0,29.0
all,814,367,211,817.2843601895735,0.0,13.0,37.0
all,814,7,154,687.538961038961,0.0,11.0,27.0
all,814,8,242,824.7768595041322,0.0,13.0,44.0
all,814,794,249,642.5783132530121,0.0,10.0,42.0
all,814,75,87,1092.4252873563219,0.0,18.0,12.0
all,814,815,67,1224.1194029850747,0.0,20.0,24.0
all,814,151,48,852.6041666666666,0.0,14.0,12.0
all,814,1046,346,622.2023121387283,0.0,10.0,22.0
all,814,156,234,468.6965811965812,0.0,7.0,48.0
all,814,3,120,726.3083333333333,0.0,12.0,6.0
all,814,49,82,734.8414634146342,0.0,12.0,14.0
all,814,83,66,1295.2575757575758,0.0,21.0,35.0
all,814,641,50,821.52,0.0,13.0,41.0
all,814,789,298,806.3355704697987,0.0,13.0,26.0
all,814,644,77,991.0909090909091,0.0,16.0,31.0
all,814,87,27,1184.0740740740741,0.0,19.0,44.0
all,814,220,276,982.322463768116,0.0,16.0,22.0
all,814,809,183,800.4098360655738,0.0,13.0,20.0
all,814,150,119,738.6218487394958,0.0,12.0,18.0
all,814,803,999,314.8978978978979,0.0,5.0,14.0
all,814,98,32,1007.6875,0.0,16.0,47.0
all,814,795,580,315.3551724137931,0.0,5.0,15.0
all,814,790,260,600.3230769230769,0.0,10.0,0.0
all,814,640,53,767.6037735849056,0.0,12.0,47.0
all,814,217,76,861.8026315789474,0.0,14.0,21.0
all,814,214,249,807.8232931726908,0.0,13.0,27.0
all,814,797,711,476.957805907173,0.0,7.0,56.0
all,814,221,62,1319.3548387096773,0.0,21.0,59.0
all,814,219,59,1665.5762711864406,0.0,27.0,45.0
all,814,140,8,1236.25,0.0,20.0,36.0
all,814,799,25,925.68,0.0,15.0,25.0
all,814,132,372,454.72849462365593,0.0,7.0,34.0
all,814,116,24,770.4166666666666,0.0,12.0,50.0
all,814,1044,1575,630.3523809523809,0.0,10.0,30.0
all,814,117,247,667.8178137651822,0.0,11.0,7.0
all,814,222,227,522.2202643171806,0.0,8.0,42.0
all,814,788,425,365.7011764705882,0.0,6.0,5.0
all,814,806,438,326.8333333333333,0.0,5.0,26.0
all,814,24,20,1091.2,0.0,18.0,11.0
all,814,792,126,1228.3174603174602,0.0,20.0,28.0
all,814,793,19,1117.2105263157894,0.0,18.0,37.0
all,814,812,86,524.7906976744187,0.0,8.0,44.0
all,814,1047,0,,,,
all,814,5,100,524.14,0.0,8.0,44.0
all,814,157,479,566.5532359081419,0.0,9.0,26.0
all,814,810,139,513.4244604316547,0.0,8.0,33.0
all,814,34,178,507.07865168539325,0.0,8.0,27.0
all,814,908,61,488.78688524590166,0.0,8.0,8.0
all,814,816,105,594.2380952380952,0.0,9.0,54.0
all,814,69,540,470.8925925925926,0.0,7.0,50.0
all,814,301,89,525.4831460674158,0.0,8.0,45.0
all,814,642,40,474.475,0.0,7.0,54.0
all,814,131,198,558.1111111111111,0.0,9.0,18.0
all,814,33,5,1400.2,0.0,23.0,20.0
all,814,791,30,652.6333333333333,0.0,10.0,52.0
all,814,298,46,893.3913043478261,0.0,14.0,53.0
all,814,800,0,,,,
all,814,804,141,741.7943262411347,0.0,12.0,21.0
all,814,818,76,687.8947368421053,0.0,11.0,27.0
all,814,1049,263,656.4790874524715,0.0,10.0,56.0
all,814,646,262,1002.8358778625955,0.0,16.0,42.0
all,814,639,84,1029.5,0.0,17.0,9.0
all,814,212,0,,,,
all,814,223,60,1497.5833333333333,0.0,24.0,57.0
all,814,368,33,1984.1515151515152,0.0,33.0,4.0
all,814,807,14,1611.4285714285713,0.0,26.0,51.0
all,814,22,131,944.5496183206106,0.0,15.0,44.0
all,814,1816,160,928.93125,0.0,15.0,28.0
all,814,82,161,914.2670807453416,0.0,15.0,14.0
all,814,811,92,940.8260869565217,0.0,15.0,40.0
all,814,798,242,830.1363636363636,0.0,13.0,50.0
all,814,2,94,705.6808510638298,0.0,11.0,45.0
all,814,645,344,477.48546511627904,0.0,7.0,57.0
