start_station_id,name,latitude,longitude
794,St. Jakobs Plass,60.386620366718034,5.331124765335517
795,Fosswinckels gate,60.38658166593217,5.327978744635743
796,Strømgaten,60.38658238047282,5.326041074182427
797,John Lunds plass,60.38824732496974,5.324558211682643
798,H.M. Pinnsvinet,60.38808210546723,5.320712071347316
799,HF-Bygget,60.387853713374845,5.318712852428234
800,Magnus Lagabøtes Plass,60.38981701893013,5.3150406033613535
801,Dragefjellsbakken,60.39017050687001,5.315109424891148
802,Håkonsgaten,60.39118461048114,5.318026298282803
803,Kode 1,60.3906427466302,5.324397430398562
804,Kode 2,60.390174061139966,5.324792207669702
806,Dreggsallmenningen Sør,60.39770902893835,5.32200057798218
807,Dreggsallmenningen Nord,60.39865649373253,5.3221425864564935
808,Festningskaien,60.40124047539194,5.315809704893212
809,Skutevikstorget,60.40222876911276,5.320744723528605
810,Amalie Skrams vei Sør,60.40807933408146,5.325457448209363
811,Amalie Skrams vei Nord,60.410929182460585,5.324662770153282
812,Hans Hauges gate,60.40190553013225,5.324747767839426
814,Nykirken,60.396949224333255,5.313494727727743
815,Gågaten,60.395070112977045,5.31879835082907
816,Østre Murallmenningen nedre,60.39521638460919,5.319910906078576
817,Nedre Korskirkeallmenning,60.39454985253085,5.327049981572372
818,Vågsallmenningen,60.393689548634,5.3265806966931
819,Thormøhlens gate 30,60.38316244112318,5.324053067317891
908,Rådstuplassen,60.39288422289191,5.327415320340492
1043,Comfort Hotel Bergen,60.39622446162616,5.315384703788823
1044,Autogården,60.38459013238918,5.331198981947182
1045,Fløttmannsplassen,60.37982631389452,5.324389909505271
1046,Ole Vigs gate,60.385922875207626,5.321431717819451
1047,Welhavens gate 64,60.38445114789948,5.324440726278226
1048,Øvre Korskirkeallmenning,60.395099485721786,5.328645087376344
1049,Møllestranden,60.37997407035479,5.350963586008675
1816,Hansaparken,60.38604412210008,5.349253890141261
1887,Puddefjordsbroen,60.38582501320374,5.319121316996245
1888,Bergen jernbanestasjon 2,60.39066508674793,5.333027169585989
1889,Nordnes Sjøbad,60.3992308109043,5.302344558881117
1890,Chr. Michelsens institutt,60.38971028611195,5.314041873201262
1891,Rosenbergsgaten,60.38904687509401,5.321882967938819
1892,Neumannsgate / Vestre torggaten,60.39097915423838,5.320656172070585
1893,Haukelandshallen,60.37049377702599,5.353846489647282
1894,Kong Oscars gate,60.393323250707,5.330654155344547
1895,Kirkegaten 1,60.40568787342849,5.325658910381037
1896,Fredriksbergsgaten,60.39721766344917,5.310383081593955
1897,Damsgårdsveien 2,60.37856975101579,5.327799308498783
1898,Kronstad,60.3720506380196,5.352659970408496
1899,Camilla Collets gate,60.37214138801542,5.346568012885058
1900,Tonningneset,60.37957605699612,5.344655017198988
