subset,end_station_id,hour,avg_trips
all,69,13,2.8079096045197742
all,69,14,2.9745762711864407
all,69,15,2.6016949152542375
all,69,16,1.9519774011299436
all,69,17,1.6101694915254237
all,69,18,1.2768361581920904
all,69,19,1.076271186440678
all,69,20,1.0
all,69,21,0.6610169491525424
all,69,22,0.21468926553672316
all,69,23,0.08192090395480225
all,70,5,0.2570621468926554
all,70,6,0.2514124293785311
all,70,7,0.4661016949152542
all,70,8,0.4604519774011299
all,70,9,0.4378531073446328
all,70,10,0.5423728813559322
all,70,11,0.6949152542372882
all,70,12,0.9011299435028248
all,70,13,1.4011299435028248
all,70,14,1.4350282485875707
all,70,15,1.4180790960451977
all,70,16,1.1214689265536724
all,70,17,0.8700564971751412
all,70,18,0.596045197740113
all,70,19,0.5141242937853108
all,70,20,0.5
all,70,21,0.3700564971751412
all,70,22,0.15254237288135594
all,70,23,0.05367231638418079
all,75,5,1.4067796610169492
all,75,6,3.3700564971751414
all,75,7,2.672316384180791
all,75,8,1.7090395480225988
all,75,9,1.1355932203389831
all,75,10,1.0677966101694916
all,75,11,1.3022598870056497
all,75,12,1.6073446327683616
all,75,13,2.132768361581921
all,75,14,2.483050847457627
all,75,15,2.3220338983050848
all,75,16,2.005649717514124
all,75,17,1.7627118644067796
all,75,18,1.4350282485875707
all,75,19,1.0593220338983051
all,75,20,0.7627118644067796
all,75,21,0.7740112994350282
all,75,22,0.3954802259887006
all,75,23,0.17231638418079095
all,82,5,0.11864406779661017
all,82,6,0.384180790960452
all,82,7,0.288135593220339
all,82,8,0.4265536723163842
all,82,9,0.5141242937853108
all,82,10,0.6271186440677966
all,82,11,0.6779661016949152
all,82,12,0.8587570621468926
all,82,13,1.0847457627118644
all,82,14,1.1694915254237288
all,82,15,1.1412429378531073
all,82,16,1.1327683615819208
all,82,17,1.1440677966101696
all,82,18,0.940677966101695
all,82,19,0.7372881355932204
all,82,20,0.5847457627118644
all,82,21,0.3559322033898305
all,82,22,0.14689265536723164
all,82,23,0.03954802259887006
all,83,5,2.4745762711864407
all,83,6,2.9858757062146895
all,83,7,2.7711864406779663
all,83,8,2.1920903954802258
all,83,9,2.522598870056497
all,83,10,3.4180790960451977
all,83,11,3.480225988700565
all,83,12,4.864406779661017
all,83,13,5.824858757062147
all,83,14,6.4209039548022595
all,83,15,5.271186440677966
all,83,16,4.019774011299435
all,83,17,3.152542372881356
all,83,18,2.573446327683616
all,83,19,1.9774011299435028
all,83,20,1.7033898305084745
all,83,21,1.036723163841808
all,83,22,0.384180790960452
all,83,23,0.0847457627118644
all,87,5,2.6666666666666665
all,87,6,3.7824858757062145
all,87,7,2.853107344632768
all,87,8,1.9378531073446328
all,87,9,1.9435028248587571
all,87,10,1.7457627118644068
all,87,11,2.1497175141242937
all,87,12,2.022598870056497
all,87,13,2.878531073446328
all,87,14,3.209039548022599
all,87,15,2.364406779661017
all,87,16,1.6271186440677967
all,87,17,1.1271186440677967
all,87,18,1.1355932203389831
all,87,19,0.4858757062146893
all,87,20,0.20056497175141244
all,87,21,0.1440677966101695
all,87,22,0.03672316384180791
all,87,23,0.00847457627118644
all,98,5,0.327683615819209
all,98,6,0.6186440677966102
all,98,7,0.5310734463276836
all,98,8,0.3728813559322034
all,98,9,0.559322033898305
all,98,10,0.7090395480225988
all,98,11,0.8050847457627118
all,98,12,1.271186440677966
all,98,13,2.26271186440678
all,98,14,3.2033898305084745
all,98,15,2.516949152542373
all,98,16,2.0028248587570623
all,98,17,1.884180790960452
all,98,18,1.8418079096045197
all,98,19,1.423728813559322
all,98,20,1.2203389830508475
all,98,21,0.9067796610169492
all,98,22,0.4124293785310734
all,98,23,0.15254237288135594
all,116,5,0.5338983050847458
all,116,6,0.8757062146892656
all,116,7,1.2937853107344632
all,116,8,1.576271186440678
all,116,9,1.9039548022598871
all,116,10,2.4661016949152543
all,116,11,2.968926553672316
all,116,12,3.3192090395480225
all,116,13,3.9548022598870056
all,116,14,4.166666666666667
all,116,15,3.73728813559322
all,116,16,2.6016949152542375
all,116,17,1.8644067796610169
all,116,18,1.5112994350282485
